国家,金牌,银牌,铜牌,总计
美国,46,37,38,121
英国,27,23,17,67
中国,26,18,26,70
俄罗斯,19,18,19,56
德国,17,10,15,42
日本,12,8,21,41
法国,10,18,14,42
韩国,9,3,9,21
意大利,8,12,8,28
澳大利亚,8,11,10,29
荷兰,8,7,4,19
匈牙利,8,3,4,15
巴西,7,6,6,19
西班牙,7,4,6,17
肯尼亚,6,6,1,13
牙买加,6,3,2,11
克罗地亚,5,3,2,10
古巴,5,2,4,11
新西兰,4,9,5,18
加拿大,4,3,15,22
乌兹别克斯坦,4,2,7,13
哈萨克斯坦,3,5,9,17
哥伦比亚,3,2,3,8
瑞士,3,2,2,7
伊朗,3,1,4,8
希腊,3,1,2,6
阿根廷,3,1,0,4
丹麦,2,6,7,15
瑞典,2,6,3,11
南非,2,6,2,10
乌克兰,2,5,4,11
塞尔维亚,2,4,2,8
波兰,2,3,6,11
朝鲜,2,3,2,7
泰国,2,2,2,6
斯洛伐克,2,2,0,4
格鲁吉亚,2,1,4,7
阿塞拜疆,1,7,10,18
白俄罗斯,1,4,4,9
土耳其,1,3,4,8
亚美尼亚,1,3,0,4
捷克,1,2,7,10
埃塞俄比亚,1,2,5,8
斯洛文尼亚,1,2,1,4
印度尼西亚,1,2,0,3
罗马尼亚,1,1,3,5
巴林,1,1,0,2
中华台北,1,0,2,3
独立奥林匹克运动员,1,0,1,2
波多黎各,1,0,0,1
马来西亚,0,4,1,5
墨西哥,0,3,2,5
阿尔及利亚,0,2,0,2
立陶宛,0,1,3,4
保加利亚,0,1,2,3
蒙古,0,1,1,2
卡塔尔,0,1,0,1
挪威,0,0,4,4
突尼斯,0,0,3,3
以色列,0,0,2,2
爱沙尼亚,0,0,1,1
